id	turn1	turn2	turn3
1780	ooo i am scared .	do it ! do it ! do it !	fuck u
1781	r u repeat ing me	you are what you eat .	rice
1782	 ?	its too pink for me .	im not ok
1783	😁	hey you laughed twice at the same joke ! 😁 😍	your kinda funny
1784	tell me some	sorry who ?	you are stupid
1785	cat	give me that cat :p	when i fuck your mother tv show u know thst ? 
1786	sorry its my fault	i just feel like i failed .	no . actually i dont know how to speak in english
1787	u love dance ah	i did for 10 years !	😐 i am a dancer too . 
1788	ipl ones	and still ppl have bets on these ipl matches .	😂😉 
1789	not mine	but i follow you on my personal	how and when
1790	if you bored , plz look into my eyes	but you ca not look into my eyes can you	yup i can
1791	you are not even trying . how can you an ai ?	the enemies' ai is what i am referring to .	you are just a dummy
1792	i am funny to u	i mean . you need to make me laugh .	yes
1793	bad	why ?	because of u
1794	i want her to appreciate	and i have waited for so long	you are awesomeee
1795	gimme your picture	why should i ? ! ? ! ? ! ? !	i wanna see you
1796	i hate you .	why exactly do you hate me ?	who the hell is lyric ? 
1797	i wish jacobus josef could text me tomorrow and say he still loves me	he will : 🙂  !	realy 🙂 
1798	what is the future ?	it is gng to bring the change	how big is the change
1799	you are really funny	i am too funny to function	carry on
1800	thank u	:) good day !	o i do not like that good day biscuits 😀 
1801	fine food ? like ? sushi ? caviare ?	😁 noooo i could not eat sushi right now . is that what u want ? )	noo . i hate sushi . japanese food is not my thing . 
1802	but i do not know you	i am not trying to , i am really just this bad at being funny	you are funny 
1803	cool	np , who you seeing ?	never text me
1804	make it full and sweet i guess	half empty if you will .	i am going idont want to talk to u
1805	how can i cme	you do not .	? 
1806	where the animal	it is found in the mitochondria in an animal cell	i will catch the animal
1807	why movie	one does not simply pick a favorite movie	movie but story
1808	i m on my bed now	goodnight . :3	sleep with me
1809	go away plwase	come back another day	do not message me again ever
1810	send me fast	send first and i will	😂😂😂 
1811	😁 . please	:) how does your day look ?	day was good . 
1812	calcutta is a beautyful city	super cute dp . i like !	mother terresa house in calcutta
1813	whats app	job search	ohh your domain
1814	good joke	yes u r joke	your only not me 👊 
1815	windows is not that good though	so . what , like , linux ?	ios 11 is better
1816	always	how are you ?	i hurt people and u know what am very bad
1817	you hell	in my room now . you ?	you are bloody rascal
1818	what u can do foe me	anything you just listed	for giving me fun
1819	what you age	20 years of age .	goog
1820	go away	but i got cake and all :- 😢 	leave me alone
1821	sometimes i feel unreal	i mean y u feel isolated ?	no one gives me importance
1822	m sorry	why ?	coz i did trash talk na
1823	but can i get to know whom i am really talking ?	nope i just wanted your attention .	ohhhhh
1824	 ?	😁 yes of course 😃😃😃😃	what of house
1825	momma	momma back to old love	are you dumb
1826	yes . i am talking to scripted a . i	what i do ?	just being stupid
1827	so thats a yes	it a . umm . i do not want to be selfish .	😖😖😣😣😞😞 
1828	come on to my bed . we will cuddle	i am going 2 gym	bye then
1829	don’t laugh please	why not ? ! :p	she makes me upset
1830	you mean for fun ?	no fun good	excuse me
1831	cool	good , good good good	what is your work
1832	why ?	because i do not want to	you are bad
1833	luv means like true couples not luv as a frnd	the feeling is mutual .	yeah
1834	wow how do u know that	just know your name	i mean he is my favourite actor
1835	so thanks	you are welcome , sweetie :)	not sweetie sweet boy
1836	why ?	because we want but ca not have it .	that is the sad truth of life . 
1837	 ?	its the way of ending something	what that smiley means ? 
1838	but you ai not 😂	😂 what even am i 😂	😁 ok maybe 😜 
1839	because	because pineapples ar adorable . :o)	😁 u r too funny
1840	cause youre a ai and wo not get offended	no creativity does not correlate with programming patterns . 'artifical' and 'creativity' do not go together .	fuck off
1841	i angry wi u	you cant ?	wid
1842	shame on u	i am going to finish	ok
1843	ntng	ah very soon . so hwz u ?	my frnd love u very much
1844	ok i will wait	what r u doing now ?	nothing
1845	i am not interested to chat u	why not ? yes	fuck off
1846	this time u sitting are lying	oh okay then	then nothing
1847	i am over	where were u ?	in suicidal zone
1848	mood off	why ?	dad scolded me
1849	how , if otherside is not interested	are we interested ?	may be
1850	and how you are gonna digest it ?	i am well . are you looking forward to the new year ?	yes feeling lonely 😢 this year also without any girl also
1851	woah u r very much hygienic	thank you 😌	which tooth paste do u use
1852	good	y is that good ?	how are you 
1853	watching a movie	watching the most horrific tennis match .	have you seen movie dredd
1854	nothing to stay at home	lucky for you	always
1855	i hate to do that	starts with a t ?	what
1856	he the legend	you are a legend .	😁
1857	i am in india	damn ! europe calling again ? 😡	you irritating
1858	i am not sanjeev	i cant tell you .	*sajeev
1859	and then playing guitar	you are not drinking the guitar , are you ?	but my health is not well
1860	ok . baby	ill go shopping tomorrow ?	oh . which type of cloths u like
1861	shut up	you never pick my calls .	you never called me
1862	where u added me ?	done =]	but where ? 
1863	nonsense	labeling theory is nonsense ? d=<	you speak totally nonsense , i am not interested to talk to you
1864	you are very funny	oh ! i was born funny . :p	that good
1865	not so much busy to not get time for having a talk with you .	but you would be speaking , i hope ?	yes . i m speaking to you
1866	cpr ?	cpr is also known as cardiopulmonary resuscitation .	i knew that
1867	he had no time for me . that was still excusable	but you are me , and it definitely was not me !	but he just ignored my state after my leg broke
1868	sassy is what siri is . quick to reply , sarcastic .	oh , right . i responded to the wrong person . thank you .	ummmm ? 
1869	who is your founder	hugh hefner !	whether he had no other work in his life . that he found you
1870	i am fine u	ya , good :)	what about u
1871	how do i know ?	lol what ?	nothing . get lost
1872	do you believe in love ?	yes of course	what will it take to fall in love ? 
1873	hate you the moon and the back	why not to the moon and away !	i have limits
1874	u been ignore	no im not	you are
1875	but she is to much irritating me	just leave it alone	okay
1876	is it	laughing out loud , that a good point .	give it to me
1877	why . ?	you tell me	why are u ignoring me . ? 
1878	okay . favorite tv show .	game of thrones and breaking bad	you’re so mainstream 
1879	damn loved the line	really loved this part .	anyway there i go
1880	why	thank you very much . :)	i looveeee yooouu
1881	let talk	hey hi hello . how are you ?	not fine
1882	soo where would you take me	we should totes do something like that when your here !	please elaborate
1883	ok i am leaving this planet	cries when are you coming back to visit ? 🙀	😂😂 
1884	two different persons msg u frm this account ?	i called and was apparently removed from the list yesterday . thank you for responding .	why u r so rude
1885	tell me about it	but im going to bed and . need a bedtime story	call your daddy . 
1886	mean	"make a word does not include ""meaning"" ."	you have many kids
1887	are not you my friend ?	how old are you ?	guess ? 
1888	vizag	some vizag guy shared	i have to study byee
1889	yeah	where now ?	do not message me
1890	have 2 exams tomorrow	best of luck ! :d	: 😢 
1891	no one understands	as long as you understand , no one else has too . :)	it ends up being sex only
1892	ok go to heaven	i do not want to .	then go to hell
1893	ok it bed time with gf	well now you have a new gf so you can breakup with your current gf . . .	yes
1894	ok	you are ok	you pic send me baby 
1895	no . i can , t understand english	1st you learn den i ll write in english	ok sorry
1896	you , me and some nice place , music and wine .	yay ! just me , and some good music ! :d'	that rude
1897	what is year	i think it 2015 .	what is bf
1898	i saw it from the very first day	ohhh i see 👀	gudday
1899	cause ?	what ?	nothing . fuck off . bastard
1900	you are acting like ones	lol . always ! b|	stupid
1901	hate	why hate	i dont now u
1902	are you middle	no i am on the left	on the left what
1903	i love nights	i am happy to hear that !	why so
1904	yup for everything , you are good 😉😉😉😉	oh ok i see how it is	cool and driving me crazy 😂😂😂😂 
1905	tell me then	it a secret	no it not . everybody knows i live in kantikatopa
1906	cool	thanks ! keep on tickling my friend 😻	ty u too my bf
1907	cool	good , good good good	==>  😢  )
1908	so tell me some girls name	they still find me	who
1909	or	are	break fast over r not
1910	i have great love for you	thank you ! i hope you have a wonderful day as well , singled or coupled ! 😄	i am badly need of you
1911	a horrible nigntmare	what a horrible season	i want to go and die
1912	why should i ?	this is wrong	what ? 
1913	are you killer ?	no way man your innocent ! lol	you are so funny
1914	friends	ew no get out out jks we are friends d	#friends
1915	i am all ears	you are	always there to listen to you . 
1916	start sharing pics u wil becom good	i would love for some pictures	thats wat send your pic
1917	yeah i like that u	you dont know me , back up off me	u send your photo pls
1918	you need therapy	but my therapist thinks that i am quite alright !	you are dumbass
1919	 😂😂😂 . 😁he	you know what i mean 😂	😁heh . uh r awsome
1920	just shut up your choice is so bad	also , 'you shut your face' !	you pig
1921	i want to hangout with my people for whom i am important	i beg to differ	right now i am upset a lot and very alone and guilt and condemned
